,p,c,r_g,R,g_fix_1,g_fix_2,g_mut_1,g_mut_2,gamma,Util_Port,Out_Risk,Out_Yield,Weights,POB-Base,MV_Base,V_Base,M_Base,POB-Mean,MV_Mean,V_Mean,M_Mean,POB-BeatBest,MV_BeatBest,V_BeatBest,M_BeatBest,POB-Adopt,MV_Adopt,V_Adopt,M_Adopt,POB-ClairvoyanceOp,MV_ClairvoyanceOp,V_ClairvoyanceOp,M_ClairvoyanceOp,Criterion1,Criterion2,Criterion3
20,0.1,0.1,-0.9,0.1,-0.7,-0.7,0.7,-0.7,6.176165381444231,-0.6823376931525873,0.028387292605000128,-0.5946753862226224,"{'env_1': [0.48374160688842816, 1.9428400475419028e-10, 0.5162583929172878], 'env_2': [0.48374160688842816, 1.9428400475419028e-10, 0.5162583929172878]}",0.04757279563596628,-0.7299104887885536,0.012982007033649656,-0.6898209775771075,0.0006633660343339232,-0.6830010591869212,0.028172477729222822,-0.5960021183565539,9.928751358723176e-05,-0.6824369806661745,0.028355140773566417,-0.5948739612503351,0.00010289687785192125,-0.6824405900304392,0.028353971969244957,-0.5948811799789937,-0.15243717842919224,-0.529900514723395,0.0029128608388307997,-0.5209053595865194,9.928751358723176e-05,0.0006633660343339232,0.00010289687785192125
21,0.1,0.1,-0.9,0.1,-0.7,-0.7,0.7,-0.35,24.047058117784868,-0.6020979311311362,0.013964458206989423,-0.4341958620877098,"{'env_1': [0.4888650936141637, 5.18915688109703e-10, 0.5111349058669205], 'env_2': [0.4888650936141637, 5.18915688109703e-10, 0.5111349058669205]}",0.0795186176753051,-0.6816165488064413,0.007350874336531943,-0.5932330976128827,0.002820824319598403,-0.6049187554507346,0.013729849515816524,-0.4398375108230945,0.00010655004677972979,-0.6022044811779159,0.013955596412245898,-0.4344089621811024,0.00011423335331739448,-0.6022121644844536,0.013954957389666543,-0.4344243287941921,-0.4155125478349595,-0.1865853832961767,0.00019214700785102207,-0.1842750981637007,0.00010655004677972979,0.002820824319598403,0.00011423335331739448
22,0.1,0.1,-0.9,0.1,-0.7,-0.7,0.7,0.0,101.45610408978833,-0.5186612249245754,0.004954630930681512,-0.2673224492097214,"{'env_1': [0.4841289228775079, 3.3103317092864683e-10, 0.5158710767914588], 'env_2': [0.4841289228775079, 3.3103317092864683e-10, 0.5158710767914588]}",0.13884105648756495,-0.6575022814121404,0.002217662891693521,-0.545004562824281,0.00883715342484992,-0.5274983783494254,0.004780424477303802,-0.28499675666807234,6.981086121460311e-05,-0.51873103578579,0.0049532547520570345,-0.26746207093182145,9.458891391012081e-05,-0.5187558138384856,0.004952766303326905,-0.26751162703712006,-0.6803166981376516,0.16165547321307613,1.0794285108060159e-05,0.16220304626982524,6.981086121460311e-05,0.00883715342484992,9.458891391012081e-05
23,0.1,0.1,-0.9,0.1,-0.7,-0.7,0.7,0.3499999999999998,1366.8750658360696,-0.42170815871442474,0.0005096176665222729,-0.07341631797500303,"{'env_1': [0.4608520622492176, 1.56844595132743e-10, 0.5391479375939379], 'env_2': [0.4608520622492176, 1.56844595132743e-10, 0.5391479375939379]}",0.28717449222473473,-0.7088826509391595,8.942638663681677e-05,-0.6477653018783192,0.04264237842665841,-0.46435053714108315,0.0004472236987680304,-0.15870107579260057,4.023120490814769e-05,-0.4217483899193329,0.0005095588005671282,-0.07349678038306767,0.00015255986303780444,-0.42186071857746255,0.0005093944422366543,-0.07372143769307854,-0.93285313471441,0.5111449759999852,5.947025671915185e-08,0.5111856202055194,4.023120490814769e-05,0.04264237842665841,0.00015255986303780444
24,0.1,0.1,-0.9,0.1,-0.7,-0.7,0.7,0.7,1207.6356478856603,0.7953274307038971,1.2012722232531269e-06,0.7960527802837049,"{'env_1': [7.208025028807278e-11, 9.492221782255385e-09, 0.9999999904356979], 'env_2': [7.208025028807278e-11, 9.492221782255385e-09, 0.9999999904356979]}",0.025327430703897202,0.7699999999999999,0.0,0.7699999999999999,0.02439941919928068,0.7709280115046164,1.5369087749149753e-06,0.7718560244166826,1.68423436308629e-07,0.7953272622804608,1.1960444693573009e-06,0.7960494552492868,0.016500822520787772,0.7788266081831093,1.4589184827141973e-05,0.787635818018534,5.51723999819842e-09,0.7953274251866571,1.2012720895793194e-06,0.7960527746857502,1.68423436308629e-07,0.02439941919928068,0.016500822520787772
25,0.1,0.1,-0.9,0.1,-0.7,-0.35,-0.7,-0.7,55.23388546830839,-0.6365775606721689,0.0022364732271321374,-0.5748130076319917,"{'env_1': [0.6720139267887335, 1.0137407200685796e-08, 0.3279860630738594], 'env_2': [0.6720139267887335, 1.0137407200685796e-08, 0.3279860630738594]}",0.030592479628651192,-0.66717004030082,0.0037234374814417276,-0.5643400806016402,0.030592479632264746,-0.6671700403044336,0.003723437480750596,-0.5643400806243407,0.030592481631233626,-0.6671700423034025,0.0037234374434342147,-0.564340083653874,0.026509051888554347,-0.6630866125607232,0.0034668756972012133,-0.5673421049646861,-0.039153618775251364,-0.5974239418969175,0.002950062833960876,-0.5159522255492633,0.030592481631233626,0.030592479632264746,0.026509051888554347
26,0.1,0.1,-0.9,0.1,-0.7,-0.35,-0.7,-0.35,11.677931556951748,-0.4777688671422939,0.011144566781004112,-0.41269612309207176,"{'env_1': [3.774423606806718e-09, 3.774423606806718e-09, 0.9999999924511526], 'env_2': [3.774423606806718e-09, 3.774423606806718e-09, 0.9999999924511526]}",0.025874557000940157,-0.503643424143234,0.008930249999999973,-0.4515,0.019242644188079694,-0.4970115113303736,0.016435650251397853,-0.40104431196544266,4.704527822863014e-09,-0.4777688718468217,0.01114214763592884,-0.4127102531019072,0.023648216324119564,-0.5014170834664134,0.005623224277610385,-0.468583269344256,-0.02159577666396245,-0.45617309047833143,0.014842865637698155,-0.3695061059652964,4.704527822863014e-09,0.019242644188079694,0.023648216324119564
27,0.1,0.1,-0.9,0.1,-0.7,-0.35,-0.7,0.0,15.861549506138186,-0.34451166461726546,0.02018465023635295,-0.18443175012326707,"{'env_1': [1.3613618553724307e-09, 8.129586850204597e-09, 0.9999999905090512], 'env_2': [1.3613618553724307e-09, 8.129586850204597e-09, 0.9999999905090512]}",0.07178354038692303,-0.4162952050041885,0.035720999949484425,-0.13300000045045068,0.0717835499998104,-0.41629521461707586,0.03572099028702452,-0.13300008669411598,1.6158368409957546e-07,-0.34451182620094956,0.02018888196117699,-0.18439835085055467,0.028738730876921914,-0.37325039549418737,0.027577666356497287,-0.1545381354055152,-0.013337267867452485,-0.33117439674981297,0.026136765799042786,-0.1238895944238847,1.6158368409957546e-07,0.0717835499998104,0.028738730876921914
28,0.1,0.1,-0.9,0.1,-0.7,-0.35,-0.7,0.3499999999999998,13.545429333479497,-0.2425284737264345,0.054069005377128825,0.12366547200727775,"{'env_1': [2.4084765329531407e-09, 6.154207456700736e-10, 0.9999999969761026], 'env_2': [2.4084765329531407e-09, 6.154207456700736e-10, 0.9999999969761026]}",0.10816416606335305,-0.35069263978978754,0.061911264360961546,0.06861468838401896,0.10816416612260832,-0.3506926398490428,0.06191126838285051,0.06861471556395121,2.0398644667851684e-07,-0.24252867771288117,0.054061673232729625,0.12361560949891942,0.03995221884930433,-0.2824806925757388,0.06458184908472649,0.15491374392559296,-0.0008481889666809017,-0.2416802847597536,0.04905202600674809,0.09053509120944878,2.0398644667851684e-07,0.10816416612260832,0.03995221884930433
29,0.1,0.1,-0.9,0.1,-0.7,-0.35,-0.7,0.7,11.623779871774708,-0.17912504033676807,0.10646679622939335,0.4396482611761949,"{'env_1': [1.8904549362823414e-08, 9.324207222285382e-12, 0.9999999810866242], 'env_2': [1.8904549362823414e-08, 9.324207222285382e-12, 0.9999999810866242]}",0.10224748397207778,-0.28137252430884585,0.08407376618389424,0.20725495124751445,0.10224748402320638,-0.28137252435997445,0.0840737661989292,0.20725495128372962,5.862579371407328e-07,-0.1791256265947052,0.10646933085380361,0.4396624058761015,0.004687169267290847,-0.18381220960405892,0.10731128141670267,0.43986914686598044,-0.027366779205884872,-0.1517582611308832,0.06661127638872075,0.23537914572933383,5.862579371407328e-07,0.10224748402320638,0.004687169267290847
